RUN: 144 s | Fan: 1920 RPM | Pump: 1.4 Hz | Heater: 26.8 % | C: 43
RUN: 145 s | Fan: 1980 RPM | Pump: 1.4 Hz | Heater: 27.1 % | C: 44
RUN: 146 s | Fan: 2040 RPM | Pump: 1.4 Hz | Heater: 27.1 % | C: 45
RUN: 147 s | Fan: 1980 RPM | Pump: 1.5 Hz | Heater: 26.5 % | C: 45
RUN: 148 s | Fan: 1980 RPM | Pump: 1.5 Hz | Heater: 26.4 % | C: 46
RUN: 149 s | Fan: 2100 RPM | Pump: 1.5 Hz | Heater: 25.9 % | C: 46
RUN: 150 s | Fan: 2220 RPM | Pump: 1.6 Hz | Heater: 25.5 % | C: 47
RUN: 151 s | Fan: 2220 RPM | Pump: 1.6 Hz | Heater: 24.8 % | C: 47
RUN: 152 s | Fan: 2220 RPM | Pump: 1.7 Hz | Heater: 24.6 % | C: 48
RUN: 153 s | Fan: 2460 RPM | Pump: 1.7 Hz | Heater: 24.2 % | C: 48
RUN: 154 s | Fan: 2280 RPM | Pump: 1.7 Hz | Heater: 24.2 % | C: 48
RUN: 155 s | Fan: 2460 RPM | Pump: 1.8 Hz | Heater: 23.4 % | C: 49
RUN: 156 s | Fan: 2520 RPM | Pump: 1.8 Hz | Heater: 24.0 % | C: 49
RUN: 157 s | Fan: 2580 RPM | Pump: 1.9 Hz | Heater: 23.6 % | C: 49
RUN: 158 s | Fan: 2460 RPM | Pump: 2.0 Hz | Heater: 23.4 % | C: 50
RUN: 159 s | Fan: 2520 RPM | Pump: 2.0 Hz | Heater: 24.1 % | C: 50
RUN: 160 s | Fan: 2580 RPM | Pump: 2.1 Hz | Heater: 23.9 % | C: 50
RUN: 161 s | Fan: 2640 RPM | Pump: 2.1 Hz | Heater: 23.2 % | C: 50
RUN: 162 s | Fan: 2760 RPM | Pump: 2.2 Hz | Heater: 23.4 % | C: 51
RUN: 163 s | Fan: 2700 RPM | Pump: 2.3 Hz | Heater: 23.4 % | C: 51
RUN: 164 s | Fan: 2940 RPM | Pump: 2.4 Hz | Heater: 22.4 % | C: 51
RUN: 165 s | Fan: 2880 RPM | Pump: 2.4 Hz | Heater: 21.3 % | C: 51
RUN: 166 s | Fan: 2820 RPM | Pump: 2.5 Hz | Heater: 19.9 % | C: 51
RUN: 167 s | Fan: 2880 RPM | Pump: 2.5 Hz | Heater: 17.7 % | C: 52
RUN: 168 s | Fan: 3180 RPM | Pump: 2.6 Hz | Heater: 15.6 % | C: 52
RUN: 169 s | Fan: 3240 RPM | Pump: 2.6 Hz | Heater: 13.7 % | C: 53
RUN: 170 s | Fan: 3180 RPM | Pump: 2.7 Hz | Heater: 11.3 % | C: 53
RUN: 171 s | Fan: 3780 RPM | Pump: 2.7 Hz | Heater: 9.5 % | C: 54
RUN: 172 s | Fan: 3540 RPM | Pump: 2.7 Hz | Heater: OFF | C: 55
RUN: 173 s | Fan: 3060 RPM | Pump: 2.8 Hz | Heater: OFF | C: 56
RUN: 174 s | Fan: 3120 RPM | Pump: 2.8 Hz | Heater: OFF | C: 56
RUN: 175 s | Fan: 3060 RPM | Pump: 2.8 Hz | Heater: OFF | C: 57
RUN: 176 s | Fan: 3120 RPM | Pump: 2.8 Hz | Heater: OFF | C: 58
RUN: 177 s | Fan: 3120 RPM | Pump: 2.9 Hz | Heater: OFF | C: 58
RUN: 178 s | Fan: 3120 RPM | Pump: 2.9 Hz | Heater: OFF | C: 59
RUN: 179 s | Fan: 3180 RPM | Pump: 2.9 Hz | Heater: OFF | C: 60
RUN: 180 s | Fan: 3180 RPM | Pump: 2.9 Hz | Heater: OFF | C: 60
RUN: 181 s | Fan: 3180 RPM | Pump: 2.9 Hz | Heater: OFF | C: 60
RUN: 182 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 61
RUN: 183 s | Fan: 3180 RPM | Pump: 3.0 Hz | Heater: OFF | C: 61
RUN: 184 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 61
RUN: 185 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 62
RUN: 186 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 62
RUN: 187 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 62
RUN: 188 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 62
RUN: 189 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 63
RUN: 190 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 63
RUN: 191 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 63
RUN: 192 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 63
RUN: 193 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 63
RUN: 194 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 64
RUN: 195 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 64
RUN: 196 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 64
RUN: 197 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 64
RUN: 198 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 64
RUN: 199 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 200 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 201 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 202 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 203 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 204 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 65
RUN: 205 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 206 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 207 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 208 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 209 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 210 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 211 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 66
RUN: 212 s | Fan: 3300 RPM | Pump: 3.0 Hz | Heater: OFF | C: 67
RUN: 213 s | Fan: 3240 RPM | Pump: 3.0 Hz | Heater: OFF | C: 67
RUN: 214 s | Fan: 3240 RPM | Pump: 2.9 Hz | Heater: OFF | C: 68
RUN: 215 s | Fan: 3300 RPM | Pump: 2.9 Hz | Heater: OFF | C: 69
RUN: 216 s | Fan: 3240 RPM | Pump: 2.8 Hz | Heater: OFF | C: 71
RUN: 217 s | Fan: 3180 RPM | Pump: 2.8 Hz | Heater: OFF | C: 72
RUN: 218 s | Fan: 3180 RPM | Pump: 2.8 Hz | Heater: OFF | C: 73
RUN: 219 s | Fan: 3180 RPM | Pump: 2.7 Hz | Heater: OFF | C: 72
RUN: 220 s | Fan: 3120 RPM | Pump: 2.7 Hz | Heater: OFF | C: 73
RUN: 221 s | Fan: 3060 RPM | Pump: 2.7 Hz | Heater: OFF | C: 74
RUN: 222 s | Fan: 3060 RPM | Pump: 2.6 Hz | Heater: OFF | C: 75
RUN: 223 s | Fan: 3000 RPM | Pump: 2.6 Hz | Heater: OFF | C: 76
RUN: 224 s | Fan: 3000 RPM | Pump: 2.6 Hz | Heater: OFF | C: 76
RUN: 225 s | Fan: 2940 RPM | Pump: 2.5 Hz | Heater: OFF | C: 77
RUN: 226 s | Fan: 2940 RPM | Pump: 2.5 Hz | Heater: OFF | C: 78
RUN: 227 s | Fan: 2880 RPM | Pump: 2.5 Hz | Heater: OFF | C: 78
RUN: 228 s | Fan: 2880 RPM | Pump: 2.4 Hz | Heater: OFF | C: 79
RUN: 229 s | Fan: 2820 RPM | Pump: 2.4 Hz | Heater: OFF | C: 79
RUN: 230 s | Fan: 2760 RPM | Pump: 2.3 Hz | Heater: OFF | C: 80
RUN: 231 s | Fan: 2760 RPM | Pump: 2.3 Hz | Heater: OFF | C: 80
RUN: 232 s | Fan: 2700 RPM | Pump: 2.3 Hz | Heater: OFF | C: 81
RUN: 233 s | Fan: 2700 RPM | Pump: 2.2 Hz | Heater: OFF | C: 81
RUN: 234 s | Fan: 2700 RPM | Pump: 2.2 Hz | Heater: OFF | C: 81
RUN: 235 s | Fan: 2580 RPM | Pump: 2.2 Hz | Heater: OFF | C: 82
RUN: 236 s | Fan: 2580 RPM | Pump: 2.1 Hz | Heater: OFF | C: 83
RUN: 237 s | Fan: 2580 RPM | Pump: 2.1 Hz | Heater: OFF | C: 83
RUN: 238 s | Fan: 2520 RPM | Pump: 2.1 Hz | Heater: OFF | C: 84
RUN: 239 s | Fan: 2460 RPM | Pump: 2.0 Hz | Heater: OFF | C: 84
RUN: 240 s | Fan: 2460 RPM | Pump: 2.0 Hz | Heater: OFF | C: 85
RUN: 241 s | Fan: 2400 RPM | Pump: 2.0 Hz | Heater: OFF | C: 86
RUN: 242 s | Fan: 2400 RPM | Pump: 1.9 Hz | Heater: OFF | C: 87
RUN: 243 s | Fan: 2340 RPM | Pump: 1.9 Hz | Heater: OFF | C: 87
RUN: 244 s | Fan: 2280 RPM | Pump: 1.8 Hz | Heater: OFF | C: 88
RUN: 245 s | Fan: 2220 RPM | Pump: 1.8 Hz | Heater: OFF | C: 89
RUN: 246 s | Fan: 2220 RPM | Pump: 1.8 Hz | Heater: OFF | C: 90
RUN: 247 s | Fan: 2160 RPM | Pump: 1.7 Hz | Heater: OFF | C: 91
RUN: 248 s | Fan: 2160 RPM | Pump: 1.7 Hz | Heater: OFF | C: 92
RUN: 249 s | Fan: 2100 RPM | Pump: 1.7 Hz | Heater: OFF | C: 93
RUN: 250 s | Fan: 2040 RPM | Pump: 1.6 Hz | Heater: OFF | C: 94
RUN: 251 s | Fan: 2040 RPM | Pump: 1.6 Hz | Heater: OFF | C: 95
RUN: 252 s | Fan: 1980 RPM | Pump: 1.6 Hz | Heater: OFF | C: 95
RUN: 253 s | Fan: 1920 RPM | Pump: 1.5 Hz | Heater: OFF | C: 96
RUN: 254 s | Fan: 1920 RPM | Pump: 1.5 Hz | Heater: OFF | C: 97
RUN: 255 s | Fan: 1860 RPM | Pump: 1.4 Hz | Heater: OFF | C: 98
RUN: 256 s | Fan: 1800 RPM | Pump: 1.4 Hz | Heater: OFF | C: 97
RUN: 257 s | Fan: 1800 RPM | Pump: 1.4 Hz | Heater: OFF | C: 98
RUN: 258 s | Fan: 1740 RPM | Pump: 1.3 Hz | Heater: OFF | C: 99
RUN: 259 s | Fan: 1680 RPM | Pump: 1.3 Hz | Heater: OFF | C: 99
RUN: 260 s | Fan: 1680 RPM | Pump: 1.3 Hz | Heater: OFF | C: 100
RUN: 261 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 101
RUN: 262 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 102
RUN: 263 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 103
RUN: 264 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 104
RUN: 265 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 105
RUN: 266 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 106
RUN: 267 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 107
RUN: 268 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 108
RUN: 269 s | Fan: 1620 RPM | Pump: 1.3 Hz | Heater: OFF | C: 109
